# REF_L Run 199424
# X Y dY dX
0.00812261 0.941654 0.0663369 0.000221338
0.00828506 0.806924 0.0564861 0.000225765
0.00845076 0.958619 0.0580851 0.00023028
0.00861978 0.922392 0.0528727 0.000234886
0.00879217 0.898998 0.0488039 0.000239584
0.00896802 0.977761 0.0473728 0.000244375
0.00914738 0.929789 0.0439658 0.000249263
0.00933032 0.982043 0.0428215 0.000254248
0.00951693 0.950176 0.0389912 0.000259333
0.00970727 0.989038 0.0760828 0.000263576
0.00990141 0.858899 0.0666244 0.000268848
0.0100994 0.946776 0.0653098 0.000274225
0.0103014 0.888532 0.0610814 0.000279709
0.0105075 0.929914 0.0582189 0.000285303
0.0107176 0.979454 0.0557198 0.000291009
0.010932 1.01099 0.0537051 0.00029683
0.0111506 1.06517 0.0523682 0.000302766
0.0113736 0.927523 0.0454712 0.000308822
0.0116011 0.985779 0.0450281 0.000314998
0.0118331 1.01595 0.0551215 0.000321298
0.0120698 0.979839 0.0937787 0.000331227
0.0123112 1.07752 0.0970785 0.000337852
0.0125574 0.896171 0.0814993 0.000344609
0.0128085 1.09182 0.0916237 0.000351501
0.0130647 1.04565 0.087136 0.000358531
0.013326 0.977979 0.07961 0.000365702
0.0135925 0.997277 0.0792201 0.000373016
0.0138644 0.965101 0.0747149 0.000380476
0.0141417 0.928042 0.0705028 0.000388086
0.0144245 0.929268 0.0693737 0.000395847
0.014713 0.667004 0.0517995 0.000403764
0.0150072 0.389078 0.0327177 0.000411839
0.0153074 0.268269 0.0243568 0.000420076
0.0156135 0.257388 0.0142472 0.000428478
0.0159258 0.220844 0.0145859 0.0004393
0.0162443 0.185454 0.0122728 0.000448086
0.0165692 0.128299 0.00905172 0.000457048
0.0169006 0.111818 0.00798 0.000466189
0.0172386 0.0868701 0.00631981 0.000475513
0.0175834 0.0543872 0.00440891 0.000485023
0.017935 0.0372036 0.0033402 0.000494723
0.0182937 0.0248278 0.00254859 0.000504618
0.0186596 0.0176891 0.00199808 0.00051471
0.0190328 0.00975301 0.00142063 0.000525004
0.0194135 0.00870758 0.00126707 0.000535504
0.0198017 0.00765047 0.00109724 0.000546215
0.0201978 0.00604357 0.00104855 0.000557139
0.0206017 0.00651346 0.000947991 0.000568282
0.0210138 0.00672272 0.000966661 0.000579647
0.021434 0.0060373 0.000874505 0.00059124
0.0218627 0.00434968 0.000762083 0.000603065
0.0223 0.00514141 0.0007629 0.000615126
0.022746 0.00410799 0.000327588 0.000627599
0.0232009 0.00301987 0.000257635 0.000640151
0.0236649 0.00278922 0.000258071 0.000652777
0.0241382 0.00201177 0.000118242 0.000666013
0.024621 0.00167595 0.000100189 0.000679333
0.0251134 0.00145187 8.86657e-05 0.00069292
0.0256157 0.0011687 7.62904e-05 0.000706778
0.026128 0.00111539 7.24972e-05 0.000720914
0.0266505 0.00076552 5.82804e-05 0.000735332
0.0271835 0.000574524 4.72922e-05 0.000750038
0.0277272 0.000366916 3.85274e-05 0.000765039
0.0282818 0.000200103 2.9818e-05 0.00078034
0.0288474 0.000128864 2.74111e-05 0.000795947
0.0294243 0.00023053 2.91861e-05 0.000811866
0.0300128 0.00034267 3.82056e-05 0.000828103
0.0306131 0.000486834 4.02217e-05 0.000844665
0.0312253 0.000586424 4.42534e-05 0.000861558
0.0318498 0.000668004 4.71183e-05 0.00087879
0.0324868 0.000683656 4.78769e-05 0.000896365
0.0331366 0.000572888 4.6329e-05 0.000914293
0.0337993 0.000503523 4.16957e-05 0.000932578
0.0344753 0.000278605 2.92271e-05 0.00095123
0.0351648 0.000254092 2.73391e-05 0.000970255
0.0358681 0.000213618 2.64142e-05 0.00098966
0.0365855 0.000383121 3.32481e-05 0.00100945
0.0373172 0.000467782 3.64071e-05 0.00102964
0.0380635 0.000535658 4.06415e-05 0.00105023
0.0388248 0.000609461 4.16856e-05 0.00107124
0.0396013 0.000614071 4.06615e-05 0.00109266
0.0403933 0.000454411 3.32715e-05 0.00111452
0.0412012 0.000323248 2.97737e-05 0.00113681
0.0420252 0.000301 2.73596e-05 0.00115954
0.0428657 0.000172248 2.04395e-05 0.00118274
0.043723 0.000173159 1.9457e-05 0.00120639
0.0445975 0.000161615 2.05277e-05 0.00123052
0.0454894 0.000155912 1.26345e-05 0.00125513
0.0463992 0.000147736 1.19329e-05 0.00128023
0.0473272 0.000146455 1.19162e-05 0.00130922
0.0482737 0.000136744 1.21676e-05 0.00133195
0.0492392 9.67678e-05 9.28273e-06 0.00136212
0.050224 8.32667e-05 8.68623e-06 0.00138936
0.0512285 6.7078e-05 8.30909e-06 0.00141715
0.0522531 7.36852e-05 7.7179e-06 0.00144549
0.0532981 7.42984e-05 8.01715e-06 0.0014744
0.0543641 9.93047e-05 8.75598e-06 0.00150389
0.0554514 8.93342e-05 8.59624e-06 0.00153397
0.0565604 8.25772e-05 8.10343e-06 0.00156464
0.0576916 8.81052e-05 7.94857e-06 0.00159594
0.0588454 7.38086e-05 8.01347e-06 0.00162786
0.0600223 0.000100735 8.46081e-06 0.00166041
0.0612228 0.000106472 8.88339e-06 0.00169362
0.0624472 8.47021e-05 8.44803e-06 0.00172749
0.0636962 0.000105206 9.16939e-06 0.00176204
0.0649701 6.6584e-05 7.47144e-06 0.00179728
0.0662695 7.77632e-05 7.47996e-06 0.00183323
0.0675949 6.91881e-05 7.54363e-06 0.00186989
0.0689468 7.19302e-05 7.22349e-06 0.00190729
0.0703257 5.5118e-05 6.8194e-06 0.00194544
0.0717322 4.6322e-05 6.45291e-06 0.00198435
0.0731669 4.34331e-05 5.61106e-06 0.00202403
0.0746302 2.68783e-05 5.29763e-06 0.00206452
0.0761228 2.16165e-05 4.72972e-06 0.00210581
0.0776453 2.31297e-05 4.47717e-06 0.00214792
0.0791982 1.61261e-05 4.15947e-06 0.00219088
0.0807822 1.77907e-05 4.05867e-06 0.0022347
0.0823978 8.96671e-06 3.70611e-06 0.00227939
0.0840458 1.975e-06 3.72716e-06 0.00232498
0.0857267 5.65255e-06 3.61739e-06 0.00237148
0.0874412 2.03857e-06 3.43629e-06 0.00241891
0.08919 2.51809e-06 1.76034e-06 0.00246729
0.0909738 2.79635e-06 1.90252e-06 0.00250994
0.0927933 7.82933e-06 1.92335e-06 0.00256696
0.0946492 5.71127e-06 1.85589e-06 0.0026183
0.0965422 5.35617e-06 2.17574e-06 0.00267067
0.098473 9.34402e-06 2.32165e-06 0.00272408
0.100442 1.16222e-05 1.35774e-06 0.00277118
0.102451 1.04611e-05 1.33928e-06 0.0028266
0.1045 1.24387e-05 1.34327e-06 0.00288313
0.10659 1.25444e-05 1.39779e-06 0.00294079
0.108722 1.5859e-05 1.52422e-06 0.00299961
0.110897 1.17777e-05 1.30739e-06 0.0030596
0.113115 1.34879e-05 1.36221e-06 0.00312079
0.115377 1.31543e-05 1.36312e-06 0.00318321
0.117684 1.01763e-05 1.23243e-06 0.00324687
0.120038 9.34213e-06 1.12746e-06 0.00331181
0.122439 6.60816e-06 1.03027e-06 0.00337805
0.124888 4.39355e-06 1.03402e-06 0.00344561
0.127385 3.16723e-06 9.81648e-07 0.00351452
0.129933 1.32898e-06 9.81578e-07 0.00358481
0.132532 1.38166e-06 9.05532e-07 0.00365651
0.135182 -1.6557e-06 8.1163e-07 0.00372964
0.137886 8.30665e-07 7.88411e-07 0.00380423
0.140644 1.82142e-06 8.18982e-07 0.00388031
0.143457 1.7912e-06 8.20477e-07 0.00395792
0.146326 2.40025e-06 8.70654e-07 0.00403708
0.149252 -1.36742e-07 8.82218e-07 0.00411782
0.152237 1.95606e-06 8.9847e-07 0.00420018
0.155282 2.53503e-06 8.34188e-07 0.00428418
0.158388 4.19275e-06 8.58748e-07 0.00436986
0.161555 2.35483e-06 8.65842e-07 0.00445726
0.164786 5.06535e-07 8.38252e-07 0.00454641
0.168082 2.02512e-06 8.13139e-07 0.00463734
0.171444 2.02802e-06 8.73997e-07 0.00473008
0.174873 -2.58776e-07 8.51143e-07 0.00482468
0.17837 4.71398e-07 8.21719e-07 0.00492118
0.181938 -3.04829e-07 8.78037e-07 0.0050196
