# Reflectivity model
# Created on 2023-01-26 20:20:08.664961+00:00
# Created by the ORNL Reflectivity Fitting Interface [DOI: 10.1016/j.softx.2018.09.001]
# Data File: ref_l/199424

# scale = 1
# background = 0

#    LAYER                     NAME        THICK          SLD         iSLD        ROUGH
#    FRONT               SiWAFER70V            0        2.197            0
#        1                     SiO2         25.0        3.001          0.0        5.999
#        2                       Pd        109.8        3.995          0.0        2.022
#        3                     void        18.67        5.815          0.0        2.835
#        4         material1intSLD3        92.48        4.305          0.0        6.743
#        5                material2        117.7        2.617          0.0        25.87
#        6                material3        277.8        1.002          0.0        36.84
#        7                material4        161.1        2.829          0.0        38.97
#        8                material5        127.0        4.454          0.0        40.57
#        9                material6        119.1        3.842          0.0         42.1
#       10                material7        197.8        3.198          0.0        49.09
#       11                material8        148.1         5.14          0.0        49.86
#     BACK                      D2O            0         6.36        69.61
           Q            R
    0.008123     1.000000
    0.008285     1.000000
    0.008451     1.000000
    0.008620     1.000000
    0.008792     1.000000
    0.008968     1.000000
    0.009147     1.000000
    0.009330     1.000000
    0.009517     1.000000
    0.009707     1.000000
    0.009901     1.000000
    0.010099     1.000000
    0.010301     1.000000
    0.010507     1.000000
    0.010718     1.000000
    0.010932     1.000000
    0.011151     1.000000
    0.011374     1.000000
    0.011601     1.000000
    0.011833     1.000000
    0.012070     1.000000
    0.012311     1.000000
    0.012557     1.000000
    0.012809     1.000000
    0.013065     1.000000
    0.013326     1.000000
    0.013593     1.000000
    0.013864     0.999976
    0.014142     0.993579
    0.014424     0.857997
    0.014713     0.491637
    0.015007     0.306900
    0.015307     0.261903
    0.015614     0.236419
    0.015926     0.210485
    0.016244     0.181016
    0.016569     0.148693
    0.016901     0.115690
    0.017239     0.084657
    0.017583     0.057977
    0.017935     0.037203
    0.018294     0.022728
    0.018660     0.013892
    0.019033     0.009345
    0.019414     0.007524
    0.019802     0.007065
    0.020198     0.007012
    0.020602     0.006856
    0.021014     0.006444
    0.021434     0.005829
    0.021863     0.005128
    0.022300     0.004438
    0.022746     0.003798
    0.023201     0.003208
    0.023665     0.002661
    0.024138     0.002165
    0.024621     0.001748
    0.025113     0.001429
    0.025616     0.001201
    0.026128     0.001023
    0.026651     0.000842
    0.027183     0.000626
    0.027727     0.000390
    0.028282     0.000193
    0.028847     0.000106
    0.029424     0.000168
    0.030013     0.000347
    0.030613     0.000560
    0.031225     0.000704
    0.031850     0.000721
    0.032487     0.000619
    0.033137     0.000465
    0.033799     0.000334
    0.034475     0.000271
    0.035165     0.000271
    0.035868     0.000305
    0.036585     0.000353
    0.037317     0.000410
    0.038064     0.000479
    0.038825     0.000543
    0.039601     0.000562
    0.040393     0.000504
    0.041201     0.000377
    0.042025     0.000232
    0.042866     0.000134
    0.043723     0.000112
    0.044597     0.000142
    0.045489     0.000176
    0.046399     0.000181
    0.047327     0.000159
    0.048274     0.000130
    0.049239     0.000110
    0.050224     0.000096
    0.051229     0.000079
    0.052253     0.000062
    0.053298     0.000055
    0.054364     0.000063
    0.055451     0.000078
    0.056560     0.000092
    0.057692     0.000099
    0.058845     0.000103
    0.060022     0.000106
    0.061223     0.000106
    0.062447     0.000104
    0.063696     0.000097
    0.064970     0.000089
    0.066269     0.000079
    0.067595     0.000068
    0.068947     0.000059
    0.070326     0.000051
    0.071732     0.000043
    0.073167     0.000035
    0.074630     0.000027
    0.076123     0.000020
    0.077645     0.000015
    0.079198     0.000012
    0.080782     0.000009
    0.082398     0.000008
    0.084046     0.000007
    0.085727     0.000007
    0.087441     0.000007
    0.089190     0.000007
    0.090974     0.000008
    0.092793     0.000009
    0.094649     0.000009
    0.096542     0.000010
    0.098473     0.000010
    0.100442     0.000010
    0.102451     0.000010
    0.104500     0.000010
    0.106590     0.000010
    0.108722     0.000009
    0.110897     0.000009
    0.113115     0.000008
    0.115377     0.000008
    0.117684     0.000007
    0.120038     0.000006
    0.122439     0.000006
    0.124888     0.000005
    0.127385     0.000005
    0.129933     0.000004
    0.132532     0.000004
    0.135182     0.000003
    0.137886     0.000003
    0.140644     0.000002
    0.143457     0.000002
    0.146326     0.000001
    0.149252     0.000001
    0.152237     0.000001
    0.155282     0.000001
    0.158388     0.000001
    0.161555     0.000001
    0.164786     0.000002
    0.168082     0.000002
    0.171444     0.000002
    0.174873     0.000002
    0.178370     0.000002
    0.181938     0.000001
    0.185576     0.000001
    0.189288     0.000001
