# Reflectivity model
# Created on 2023-01-26 23:36:34.056367+00:00
# Created by the ORNL Reflectivity Fitting Interface [DOI: 10.1016/j.softx.2018.09.001]
# Data File: ref_l/199431

# scale = 1
# background = 0

#    LAYER                     NAME        THICK          SLD         iSLD        ROUGH
#    FRONT              SiWAFER705V            0        2.165            0
#        1                     SiO2        25.04        3.007          0.0        5.837
#        2                       Pd        110.0        4.095          0.0         2.28
#        3                     void        18.59        6.132          0.0        1.418
#        4                material1         40.5        4.567          0.0        9.018
#        5                material2        109.3        5.215          0.0         14.3
#        6                material3        423.0        5.536          0.0        12.58
#        7                material4        417.9        5.027          0.0        99.94
#        8                material5        588.7        5.458          0.0        95.51
#        9                material6        568.0        5.329          0.0        81.02
#       10                material7        321.1        4.501          0.0        47.32
#       11                material8        189.4        5.539          0.0        30.29
#     BACK                   D2O05V            0        6.272        30.11
           Q            R
    0.008123     1.000000
    0.008285     1.000000
    0.008451     1.000000
    0.008620     1.000000
    0.008792     1.000000
    0.008968     1.000000
    0.009147     1.000000
    0.009330     1.000000
    0.009517     1.000000
    0.009707     1.000000
    0.009901     1.000000
    0.010099     1.000000
    0.010301     1.000000
    0.010507     1.000000
    0.010718     1.000000
    0.010932     1.000000
    0.011151     1.000000
    0.011374     1.000000
    0.011601     1.000000
    0.011833     1.000000
    0.012070     1.000000
    0.012311     1.000000
    0.012557     1.000000
    0.012809     1.000000
    0.013065     1.000000
    0.013326     1.000000
    0.013593     0.999991
    0.013864     0.997680
    0.014142     0.946093
    0.014424     0.741549
    0.014713     0.427184
    0.015007     0.169871
    0.015307     0.080362
    0.015614     0.074256
    0.015926     0.052825
    0.016244     0.020065
    0.016569     0.008612
    0.016901     0.015509
    0.017239     0.019579
    0.017583     0.014360
    0.017935     0.007224
    0.018294     0.003629
    0.018660     0.002683
    0.019033     0.002627
    0.019414     0.003236
    0.019802     0.003771
    0.020198     0.003079
    0.020602     0.001772
    0.021014     0.001552
    0.021434     0.002357
    0.021863     0.002478
    0.022300     0.001499
    0.022746     0.000839
    0.023201     0.001173
    0.023665     0.001516
    0.024138     0.001289
    0.024621     0.001141
    0.025113     0.001262
    0.025616     0.001025
    0.026128     0.000621
    0.026651     0.000846
    0.027183     0.001254
    0.027727     0.000900
    0.028282     0.000399
    0.028847     0.000714
    0.029424     0.001083
    0.030013     0.000689
    0.030613     0.000397
    0.031225     0.000694
    0.031850     0.000701
    0.032487     0.000365
    0.033137     0.000402
    0.033799     0.000477
    0.034475     0.000260
    0.035165     0.000240
    0.035868     0.000306
    0.036585     0.000168
    0.037317     0.000170
    0.038064     0.000222
    0.038825     0.000136
    0.039601     0.000173
    0.040393     0.000191
    0.041201     0.000136
    0.042025     0.000187
    0.042866     0.000163
    0.043723     0.000140
    0.044597     0.000172
    0.045489     0.000131
    0.046399     0.000135
    0.047327     0.000133
    0.048274     0.000111
    0.049239     0.000118
    0.050224     0.000108
    0.051229     0.000105
    0.052253     0.000108
    0.053298     0.000104
    0.054364     0.000110
    0.055451     0.000109
    0.056560     0.000114
    0.057692     0.000114
    0.058845     0.000117
    0.060022     0.000116
    0.061223     0.000117
    0.062447     0.000111
    0.063696     0.000109
    0.064970     0.000098
    0.066269     0.000094
    0.067595     0.000080
    0.068947     0.000073
    0.070326     0.000060
    0.071732     0.000050
    0.073167     0.000041
    0.074630     0.000031
    0.076123     0.000025
    0.077645     0.000018
    0.079198     0.000014
    0.080782     0.000011
    0.082398     0.000009
    0.084046     0.000008
    0.085727     0.000008
    0.087441     0.000008
    0.089190     0.000009
    0.090974     0.000009
    0.092793     0.000010
    0.094649     0.000012
    0.096542     0.000013
    0.098473     0.000013
    0.100442     0.000014
    0.102451     0.000014
    0.104500     0.000014
    0.106590     0.000014
    0.108722     0.000013
    0.110897     0.000012
    0.113115     0.000011
    0.115377     0.000010
    0.117684     0.000008
    0.120038     0.000007
    0.122439     0.000006
    0.124888     0.000005
    0.127385     0.000005
    0.129933     0.000004
    0.132532     0.000004
    0.135182     0.000003
    0.137886     0.000003
    0.140644     0.000002
    0.143457     0.000002
    0.146326     0.000001
    0.149252     0.000001
    0.152237     0.000001
    0.155282     0.000001
    0.158388     0.000001
    0.161555     0.000001
    0.164786     0.000002
    0.168082     0.000002
    0.171444     0.000002
    0.174873     0.000002
    0.178370     0.000002
    0.181938     0.000002
    0.185576     0.000001
    0.189288     0.000001
