#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.26923844   0.00000000
  0.00000000   6.26923844   0.00000000
  0.00000000   5.53881449   0.00000000
189.42976461   5.53881449   0.00000000
189.42976461   4.50091614   0.00000000
510.55067587   4.50091614   0.00000000
510.55067587   5.32926409   0.00000000
1078.49984342   5.32926409   0.00000000
1078.49984342   5.45782918   0.00000000
1667.20595182   5.45782918   0.00000000
1667.20595182   5.02696420   0.00000000
2085.10395026   5.02696420   0.00000000
2085.10395026   5.53602901   0.00000000
2508.13943568   5.53602901   0.00000000
2508.13943568   5.21504559   0.00000000
2617.43876677   5.21504559   0.00000000
2617.43876677   4.56748074   0.00000000
2657.93744724   4.56748074   0.00000000
2657.93744724   6.13193286   0.00000000
2676.53094212   6.13193286   0.00000000
2676.53094212   4.09519043   0.00000000
2786.49417156   4.09519043   0.00000000
2786.49417156   3.00691544   0.00000000
2811.53808381   3.00691544   0.00000000
2811.53808381   2.19997689   0.00000000
2821.53808381   2.19997689   0.00000000
